Data sent by CRU0:
Packet: time window: 1, sampaId: 0, channelId: 0, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 1, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 2, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 3, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 4, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 5, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 6, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 10, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 12, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 11, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 7, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 9, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 13, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 8, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 14, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 17, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 18, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 20, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 19, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 15, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 16, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 24, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 26, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 22, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 23, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 25, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 27, number of samples: 951
Packet: time window: 1, sampaId: 0, channelId: 21, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 30, number of samples: 952
Packet: time window: 1, sampaId: 1, channelId: 1, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 2, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 0, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 31, number of samples: 951
Packet: time window: 1, sampaId: 0, channelId: 29, number of samples: 952
Packet: time window: 1, sampaId: 0, channelId: 28, number of samples: 952
Packet: time window: 1, sampaId: 1, channelId: 7, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 4, number of samples: 952
Packet: time window: 1, sampaId: 1, channelId: 3, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 6, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 8, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 5, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 9, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 10, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 12, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 16, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 15, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 11, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 14, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 13, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 22, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 19, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 20, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 21, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 17, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 18, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 23, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 26, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 29, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 30, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 27, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 25, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 24, number of samples: 952
Packet: time window: 1, sampaId: 1, channelId: 28, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 0, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 5, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 2, number of samples: 951
Packet: time window: 1, sampaId: 1, channelId: 31, number of samples: 951
Packet: time window: 1, sampaId: 2, channelId: 4, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 1, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 3, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 6, number of samples: 951
Packet: time window: 1, sampaId: 2, channelId: 7, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 12, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 11, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 10, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 8, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 9, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 15, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 13, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 16, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 18, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 19, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 17, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 14, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 22, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 24, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 25, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 26, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 23, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 20, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 21, number of samples: 952
Packet: time window: 1, sampaId: 3, channelId: 1, number of samples: 951
